Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
fakir,B1,I-type (back),فقير,Fakir bir adam.,رجل فقير
genç,A1,E-type (front),شاب,Genç adam,رجل شاب
itfaiyeci,A2,E-type (front),رجل إطفاء,İtfaiyeci yangını söndürdü.,رجل الإطفاء أطفأ الحريق.
itfaiyeci,A2,Mixed,رجل إطفاء,İtfaiyeci yangını söndürdü.,رجل الإطفاء أطفأ الحريق.
kemer,A2,E-type (front),حزام,Kemeri bağladım.,ربطت الحزام.
sanat galerisi,A2,I-type (back),معرض فني,Sanat galerisinde resim gördük.,رأينا لوحات في المعرض الفني.
çirkin,A1,E-type (front),قبيح,Çirkin bir bina gördüm.,رأيت مبنى قبيحاً.
yüksek,A1,E-type (front),عالي,Yüksek bir bina gördüm.,رأيت مبنى عالياً.
siyah,A1,I-type (back),أسود,Siyah bir kedi gördüm.,رأيت قطاً أسود.
fare,A1,E-type (front),فأر,Küçük bir fare gördüm.,رأيت فأراً صغيراً.
kırmızı,A1,E-type (front),أحمر,Kırmızı bir araba gördüm.,رأيت سيارة حمراء.
teleskop,C1,E-type (front),تلسكوب,Teleskopla yıldızları gördüm.,رأيت النجوم بالتلسكوب
baş,A1,I-type (back),رأس,Başım ağrıyor.,رأسي يؤلمني.
baş,A1,I-type (back),رأس,Başım ağrıyor.,رأسي يؤلمني
karanfil,B1,I-type (back),قرنفل,Karanfil kokusu güzel.,رائحة القرنفل جميلة.
radyo,A2,I-type (back),راديو,Eski radyo,راديو قديم
kurt,B1,I-type,ذئب,Vahşi kurt,ذئب بري
göz,A1,I-type (back),عين,Mavi gözlü.,ذو عيون زرقاء
perşembe,A1,E-type (front),الخميس,Perşembe akşamı sinemaya gittik.,ذهبنا للسينما مساء الخميس.
balık,A2,I-type (back),سمك,Balık tutmaya gittik.,ذهبنا لصيد السمك
alışveriş merkezi,A2,I-type (back),مركز تسوق,Alışveriş merkezine gittik.,ذهبنا إلى مركز التسوق.
taksi,A2,I-type (back),سيارة أجرة,Taksiyle havaalanına gittik.,ذهبنا إلى المطار بالتاكسي
konser,A2,E-type (front),حفل موسيقي,Konsere gittik.,ذهبنا إلى الحفل الموسيقي.
ada,A2,I-type (back),جزيرة,Adaya gittik.,ذهبنا إلى الجزيرة.
dün,A1,E-type (front),أمس,Dün sinemaya gittim.,ذهبت للسينما أمس.
balık,A1,I-type (back),سمك,Balık tutmaya gittim.,ذهبت لصيد السمك.
taksi,A1,I-type (back),تاكسي,Taksiyle gittim.,ذهبت بالتاكسي.
taksi,A1,I-type (back),تاكسي,Taksiyle gittim.,ذهبت بالتاكسي.
müdür odası,A2,Mixed,مكتب المدير,Müdür odasına gittim.,ذهبت إلى مكتب المدير.
polis karakolu,A2,I-type (back),مركز شرطة,Polis karakoluna gittim.,ذهبت إلى مركز الشرطة.
yıl,A1,I-type (back),سنة,Geçen yıl İstanbul'a gittim.,ذهبت إلى إسطنبول العام الماضي.
havaalanı,A2,I-type (back),مطار,Havaalanına gittim.,ذهبت إلى المطار.
hastane,A1,I-type (back),مستشفى,Hastaneye gittim.,ذهبت إلى المستشفى.
hastane,A1,I-type (back),مستشفى,Hastaneye gittim.,ذهبت إلى المستشفى.
hastane,A1,I-type (back),مستشفى,Hastaneye gittim,ذهبت إلى المستشفى
tuvalet,A1,I-type (back),مرحاض,Tuvalete gittim.,ذهبت إلى المرحاض.
dün,A1,E-type (front),أمس,Dün okula gittim,ذهبت إلى المدرسة أمس
doktor,A1,I-type (back),طبيب,Doktora gittim.,ذهبت إلى الطبيب.
sinema,A1,E-type (front),سينما,Sinemaya gittim.,ذهبت إلى السينما.
berber,A1,E-type (front),حلاق,Berbere gittim.,ذهبت إلى الحلاق.
camii,A1,E-type (front),جامع,Camiiye gittim.,ذهبت إلى الجامع.
banka,A1,I-type (back),بنك,Bankaya gittim.,ذهبت إلى البنك.
oğul,A1,I-type (back),ابن,Oğlum okula gitti.,ذهب ابني إلى المدرسة.
çene,B2,E-type (front),ذقن,Çenesi sivri.,ذقنه مدبب
kol,A1,I-type (back),ذراع,Kolum ağrıyor.,ذراعي يؤلمني.
kol,A1,I-type (back),ذراع,Kolum kırıldı.,ذراعي مكسورة.
sinek,A2,E-type,ذبابة,Rahatsız sinek,ذبابة مزعجة
hindi,A2,E-type,ديك رومي,Büyük hindi,ديك رومي كبير
horoz,A2,I-type,ديك,Kırmızı horoz,ديك أحمر
azot,C1,I-type (back),نيتروجين,Azot döngüsü,دورة النيتروجين
karbon,B2,I-type (back),كربون,Karbon döngüsü,دورة الكربون
reçel,A2,E-type (front),مربى,Reçel sürdüm.,دهنت المربى.
beyin,B1,E-type (front),دماغ,Akıllı beyin,دماغ ذكي
kan,A2,I-type (back),دم,Kırmızı kan,دم أحمر
yunus,B1,I-type,دلفين,Akıllı yunus,دلفين ذكي
çekiç,B1,E-type (front),مطرقة,Çekiçle çivi çaktım.,دققت المسمار بالمطرقة
lira,A2,I-type (back),ليرة,Beş lira verdim.,دفعت خمس ليرات
kırk,A1,I-type (back),أربعون,Kırk lira verdim.,دفعت أربعين ليرة.
fatura,B1,I-type (back),فاتورة,Faturayı ödedim.,دفعت الفاتورة
piknik,B1,E-type (front),نزهة,Piknik yapalım.,دعونا نقوم بنزهة
molekül,C1,E-type (front),جزيء,Molekül yapısını inceledik.,درسنا تركيب الجزيء
zor,A1,I-type (back),صعب,Zor bir ders.,درس صعب
ders,A1,E-type (front),درس,Matematik dersi zor.,درس الرياضيات صعب.
sıcaklık,A2,I-type,درجة الحرارة,Oda sıcaklığı,درجة حرارة الغرفة
sıcaklık,A2,I-type (back),درجة الحرارة,Sıcaklık yükseliyor,درجة الحرارة ترتفع
sıcaklık,A2,I-type (back),درجة الحرارة,Sıcaklık yükseliyor,درجة الحرارة ترتفع
tavuk,A1,I-type,دجاجة,Sarı tavuk,دجاجة صفراء
ayı,A2,I-type,دب,Büyük ayı,دب كبير
daire,A2,I-type,دائرة,Büyük daire,دائرة كبيرة
domuz,A2,I-type,خنزير,Vahşi domuz,خنزير بري
blender,B1,E-type (front),خلاط,Blender ile karıştırdım.,خلطت بالخلاط.
mikser,B1,E-type (front),مضرب,Mikser ile çırptım.,خفقت بالمضرب.
paralel,C1,I-type (back),متوازي,Paralel çizgiler.,خطوط متوازية.
eğri,B1,E-type (front),معوج,Eğri çizgi,خط معوج
çizgi,A2,E-type,خط,Düz çizgi,خط مستقيم
yatay,B2,I-type (back),أفقي,Yatay çizgi,خط أفقي
bel,A2,E-type (front),خصر,İnce bel,خصر نحيف
dolap,A1,I-type (back),خزانة,Büyük dolap,خزانة كبيرة
koyun,A1,I-type,خروف,Beyaz koyun,خروف أبيض
kayık,A2,I-type (back),قارب,Kayıkla denize açıldık.,خرجنا للبحر بالقارب.
utanmak,B2,I-type (back),يخجل,Hatamı fark edince utandım.,خجلت عندما أدركت خطئي
pazarlama uzmanı,B2,Mixed,خبير تسويق,Pazarlama uzmanı kampanya hazırladı.,خبير التسويق حضر حملة.
börek,A2,E-type (front),بوريك,Börek pişirdim.,خبزت البوريك.
bayat,B1,I-type (back),قديم/بائت,Bayat ekmek,خبز بائت
dayı,A1,I-type (back),خال,Dayım doktordur.,خالي طبيب.
dayı,A2,I-type (back),خال,Dayım doktor,خالي طبيب
dayı,A1,I-type (back),خال,Dayım beni ziyaret etti.,خالي زارني.
teyze,A1,E-type (front),خالة,Teyzem pasta yaptı.,خالتي صنعت كعكة.
teyze,A2,E-type (front),خالة,Teyzem İstanbul'da yaşıyor,خالتي تعيش في إسطنبول
gümüş,A2,E-type (front),فضة,Gümüş yüzük,خاتم فضي
hayvan,A1,I-type,حيوان,Sevimli hayvan,حيوان لطيف
sağlıklı,A2,I-type (back),صحي,Sağlıklı yaşam,حياة صحية
balina,B1,I-type,حوت,Büyük balina,حوت كبير
uygulama,B1,I-type (back),تطبيق,Yeni uygulama indirdim.,حملت تطبيقاً جديداً.
uygulama,B2,I-type (back),تطبيق,Yeni uygulama indirdim.,حملت تطبيقاً جديداً.
program,A2,I-type (back),برنامج,Program yükledim.,حملت برنامجاً.
indirmek,B1,E-type (front),بتحميل,Dosya indirdim.,حملت الملف.
yüklemek,B1,E-type (front),بتحميل,Fotoğraf yükledim.,حملت الصورة.
kayınbaba,A2,Mixed,حما,Kayınbabam emekli,حماي متقاعد
güvercin,A2,E-type,حمامة,Beyaz güvercin,حمامة بيضاء
banyo,A1,I-type (back),حمام,Temiz banyo,حمام نظيف
kalıcı,B2,I-type (back),دائم,Kalıcı çözüm,حل دائم
ağır,A1,I-type (back),ثقيل,Ağır bavul,حقيبة ثقيلة
hak,B2,I-type (back),حق,İnsan hakları önemli.,حقوق الإنسان مهمة.
tarla,A2,I-type (back),حقل,Buğday tarlası,حقل القمح
torun,A2,I-type (back),حفيد/حفيدة,Torunum çok tatlı,حفيدي/حفيدتي لطيف/ة جداً
cenaze,B2,E-type (front),جنازة,Cenaze töreni yarın.,حفل الجنازة غداً
meze,B1,E-type (front),مقبلات,Meze hazırladık.,حضرنا المقبلات.
salata,A1,I-type (back),سلطة,Salata hazırladım.,حضرت السلطة.
dokuz,A1,I-type (back),تسعة,Dokuz öğrenci geldi.,حضر تسعة طلاب.
not,A1,I-type (back),علامة,İyi not aldım.,حصلت على علامة جيدة.
not,A2,I-type (back),درجة,İyi not aldım.,حصلت على درجة جيدة
diploma,B1,I-type (back),دبلوم,Diplomamı aldım.,حصلت على دبلومي.
diploma,B1,I-type (back),شهادة,Diplomı aldım.,حصلت على الشهادة
at,A1,I-type,حصان,Hızlı at,حصان سريع
böcek,A2,E-type,حشرة,Küçük böcek,حشرة صغيرة
ivme,B2,E-type (front),ivme,İvme hesabı,حساب التسارع
elektron,C1,E-type (front),إلكترون,Elektron hareketi,حركة الإلكترون
ısı,B1,I-type,حرارة,Güneş ısısı,حرارة الشمس
siyah,A1,I-type,أسود,Siyah ayakkabı,حذاء أسود
bahçe,A1,I-type (back),حديقة,Güzel bir bahçe,حديقة جميلة
bahçe,A1,I-type (back),حديقة,Çiçekli bahçe,حديقة بالزهور
bahçe,A1,I-type (back),حديقة,Okul bahçesi geniş.,حديقة المدرسة واسعة.
hacim,B2,E-type (front),hacim,Su hacmi,حجم الماء
randevu,B1,I-type (back),موعد,Randevu aldım.,حجزت موعداً
tenis,B1,E-type (front),تنس,Tenis kortu rezerve ettim.,حجزت ملعب التنس
taş,A1,I-type (back),حجر,Büyük taş,حجر كبير
sevgili,B1,E-type (front),حبيب/حبيبة,Sevgilim çok tatlı.,حبيبي/حبيبتي لطيف جداً
dik,B1,E-type (front),عمودي,Dik duvar,حائط عمودي
duvar,A1,I-type (back),حائط,Beyaz duvar,حائط أبيض
plazma,C1,I-type (back),بلازما,Plazma hali,حالة البلازما
kenar,B1,I-type,حافة,Keskin kenar,حافة حادة
kenar,B2,E-type (front),حافة/جانب,Masanın kenarı keskin.,حافة الطاولة حادة.
bilgisayar,A2,I-type (back),حاسوب,Bilgisayarım bozuldu.,حاسوبي معطل
laptop,A2,I-type (back),حاسوب محمول,Yeni laptop,حاسوب محمول جديد
bilgisayar,A2,I-type (back),حاسوب,Hızlı bilgisayar,حاسوب سريع
güvenlik görevlisi,A2,Mixed,حارس أمن,Güvenlik görevlisi kapıda duruyor.,حارس الأمن يقف عند الباب.
çorap,A1,I-type (back),جوارب,Çoraplarım temiz.,جواربي نظيفة.
çorap,A1,I-type (back),جوارب,Çoraplarım kirli.,جواربي متسخة.
çorap,A2,I-type (back),جوارب,Çoraplarım kirli.,جواربي متسخة
judo,A1,E-type (back),مفردة تركية,judo çok güzel.,جميل جداً
bir,A1,E-type (front),مفردة تركية,bir çok güzel.,جميل جداً
aldi,A1,Mixed/Exception,مفردة تركية,aldi çok güzel.,جميل جداً
alte,A1,Mixed/Exception,مفردة تركية,alte çok güzel.,جميل جداً
karides,B1,E-type,جمبري,Taze karides,جمبري طازج
koltuk,A2,I-type (back),مقعد,Ön koltuğa oturdum.,جلست في المقعد الأمامي
havlu,A2,I-type (back),منشفة,Havluyla ellerimi kuruladım.,جففت يدي بالمنشفة
havlu,A1,I-type (back),منشفة,Havlu ile kurulandım.,جففت نفسي بالمنشفة.
vücut,B1,E-type (front),جسم,Vücudum hasta.,جسمي مريض
ada,B1,I-type (back),جزيرة,Küçük ada,جزيرة صغيرة
molekül,B2,E-type (front),جزيء,Su molekülü,جزيء الماء
radyasyon,C1,I-type (back),إشعاع,Radyasyon dozu,جرعة الإشعاع
sıçan,B1,I-type,جرذ,Gri sıçan,جرذ رمادي
parmak,A1,I-type (back),إصبع,Parmağımı kestim.,جرحت إصبعي.
kök,A2,I-type (back),جذر,Ağacın kökleri derindir.,جذور الشجرة عميقة.
kök,A2,I-type (back),جذر,Ağacın kökleri derindir.,جذور الشجرة عميقة.
kök,B1,E-type,جذر,Ağacın kökleri derin,جذور الشجرة عميقة
gövde,B1,E-type,جذع,Ağaç gövdesi kalın,جذع الشجرة سميك
dede,A1,E-type (front),جد,Dedem hikaye anlatıyor.,جدي يحكي القصص.
dede,A1,E-type (front),جد,Dedem çok yaşlı.,جدي كبير في السن.
büyükbaba,A2,Mixed,جد,Büyükbabam bahçede,جدي في البستان
dede,A1,E-type (front),جد,Dedem yaşlı,جدي عجوز
nine,A1,E-type (front),جدة,Ninem çok tatlı.,جدتي حلوة جداً.
büyükanne,A2,Mixed,جدة,Büyükannem yemek pişiriyor,جدتي تطبخ الطعام
nine,A1,E-type (front),جدة,Ninem pasta yapıyor.,جدتي تصنع الكيك.
nine,A1,E-type (front),جدة,Ninem masallar anlatır,جدتي تحكي الحكايات
mat,B2,I-type (back),مطفي,Mat boyalı duvar.,جدار مطلي بطلاء مطفي
dağ,A1,I-type (back),جبل,Yüksek dağlar,جبال عالية
komşu,B1,I-type (back),جار,Komşumuz çok nazik.,جارنا لطيف جداً
geniş,A2,E-type (front),واسع,Geniş bir cadde.,جادة واسعة
matematik,B1,E-type (front),رياضيات,Matematik öğretmeni geldi.,جاء مدرس الرياضيات
ilkbahar,A2,I-type (back),ربيع,İlkbahar geldi,جاء الربيع
ilkbahar,B1,I-type (back),ربيع,İlkbahar geldi.,جاء الربيع
pense,B2,E-type (front),كماشة,Penseyle tel büktüm.,ثنيت السلك بالكماشة
buzdolabı,A1,I-type (back),ثلاجة,Büyük buzdolabı,ثلاجة كبيرة
derece,A2,E-type (front),درجة,Otuz derece sıcak,ثلاثون درجة حرارة
boyut,B2,I-type,بُعد,Üç boyut,ثلاثة أبعاد
tilki,B1,E-type,ثعلب,Kurnaz tilki,ثعلب ماكر
yılan,A2,I-type,ثعبان,Uzun yılan,ثعبان طويل
yıldız,A2,I-type (back),نجمة,Gökte yıldızlar var.,توجد نجوم في السماء
raf,A2,I-type (back),رف,Rafta kitaplar var.,توجد كتب على الرف
bulut,B1,I-type (back),غيمة,Gökyüzünde bulutlar var.,توجد غيوم في السماء
gri,A2,E-type (front),رمادي,Gri bulutlar var.,توجد غيوم رمادية
liman,A2,E-type (front),ميناء,Limanda gemiler var,توجد سفن في الميناء
bulut,A1,I-type (back),سحابة,Gökyüzünde bulutlar var.,توجد سحب في السماء.
bodrum,A2,I-type (back),قبو,Bodrumda eşyalar var.,توجد أشياء في القبو.
haziran,A1,I-type (back),يونيو,Haziran sınavları var.,توجد امتحانات في يونيو.
kısa,A1,I-type (back),قصير,Kısa etek,تنورة kısa
öğle,A1,E-type (front),ظهر,Öğle yemeği yedik.,تناولنا غداء الظهر.
hap,A2,I-type (back),حبة دواء,Hap içtim,تناولت الحبة
öğle,A1,E-type (front),ظهيرة,Öğle yemeği ye,تناول طعام الظهيرة
ilaç,A2,I-type (back),دواء,İlaç içmek gerekli,تناول الدواء ضروري
protein,B2,E-type (front),بروتين,Protein almak önemli,تناول البروتين مهم
orman,A1,I-type (back),غابة,Ormanda yürüyüş yaptık.,تمشينا في الغابة.
orman,A1,I-type (back),غابة,Ormanda yürüyüş yaptık.,تمشينا في الغابة.
park,A1,I-type (back),حديقة عامة,Parkta yürüyüş yaptık.,تمشينا في الحديقة العامة.
serum,B2,E-type (front),مصل,Serum takıldı,تم تركيب المصل
yazılım,B2,I-type (back),برمجيات,Yazılım güncellendi.,تم تحديث البرمجيات
mesaj,A2,I-type (back),رسالة,Mesaj aldım.,تلقيت رسالة.
mesaj,A2,E-type (front),رسالة,Mesaj aldım.,تلقيت رسالة
üzgün,A2,E-type (front),حزين,Üzgün bir haber aldım.,تلقيت خبراً حزيناً
maaş,B1,I-type (back),راتب,Maaş aldım.,تلقيت الراتب
ceza,B2,E-type (front),عقوبة,Ceza aldı.,تلقى عقوبة.
televizyon,A1,I-type (back),تلفزيون,Büyük televizyon,تلفزيون كبير
tepe,A2,E-type,تل,Küçük bir tepe,تل صغير
vize,B2,E-type (front),فيزا,Vize başvurusu yaptım.,تقدمت بطلب فيزا
belediye,A2,E-type (front),بلدية,Belediyeye başvurdum.,تقدمت بطلب إلى البلدية.
kredi,B2,E-type (front),ائتمان,Kredi başvurusu yaptım.,تقدمت بطلب ائتمان
kredi,B1,E-type (front),ائتمان,Kredi başvurusu yaptım.,تقدمت بطلب ائتمان
belediye,B2,E-type (front),بلدية,Belediye hizmet veriyor.,تقدم البلدية الخدمات.
çiçek,A1,E-type,زهرة,Güzel çiçekler açtı,تفتحت زهور جميلة
sarı,A1,I-type (back),أصفر,Sarı çiçekler açtı.,تفتحت الأزهار الصفراء.
sarı,A1,I-type (back),أصفر,Sarı çiçekler açtı.,تفتحت الأزهار الصفراء
kırmızı,A1,I-type,أحمر,Kırmızı elma,تفاحة حمراء
ekşi,A2,E-type (front),حامض,Ekşi elma,تفاح حامض
şaşırmak,B1,I-type (back),يتفاجأ,Hediyeyi görünce şaşırdım.,تفاجأت عندما رأيت الهدية
pansuman,B2,I-type (back),ضمادة,Pansuman değişimi,تغيير الضمادة
asır,A2,I-type (back),قرن,Geçen asırda çok şey değişti.,تغيرت أشياء كثيرة في القرن الماضي.
at,A2,I-type (back),حصان,At binmeyi öğrendim.,تعلمت ركوب الخيل
flüt,A2,E-type (front),ناي,Flüt çalmayı öğrendim.,تعلمت العزف على الناي.
zor,A1,I-type (back),صعب,Türkçe öğrenmek zor.,تعلم التركية صعب.
kahve makinesi,B1,Mixed,آلة قهوة,Kahve makinesi bozuldu.,تعطلت آلة القهوة.
bilgisayar,A2,Mixed,حاسوب,Bilgisayarım bozuldu.,تعطل حاسوبي.
motor,B1,I-type (back),محرك,Motor bozuldu.,تعطل المحرك
hoparlör,A2,I-type (back),مكبر صوت,Hoparlörden müzik çalıyor.,تعزف الموسيقى من مكبر الصوت.
tanışmak,B1,I-type (back),يتعرف,Dün yeni bir arkadaşla tanıştım.,تعرفت على صديق جديد أمس
akşam,A1,I-type (back),مساء,Akşam eve gel,تعال إلى البيت في المساء
kaba,A2,I-type (back),وقح,Kaba davranış,تصرف وقح
aptal,B1,I-type (back),غبي,Aptal davranış,تصرف غبي
plaj,A1,I-type (back),شاطئ,Plajda güneşlendik.,تشمسنا على الشاطئ.
mağaza,A1,I-type (back),متجر,Mağazadan alışveriş yaptım.,تسوقت من المتجر.
teyze,A1,E-type (front),خالة,Teyzemle alışveriş yaptım.,تسوقت مع خالتي.
indirim,A2,E-type (front),تخفيض,İndirimde alışveriş yaptım.,تسوقت في التخفيضات.
maaş,A2,I-type (back),راتب,Maaşımı aldım,تسلمت راتبي
kristal,B2,I-type (back),بلورة,Kristal yapısı,تركيب بلوري
elbise,A1,E-type (front),فستان,Güzel elbise giyiyor.,ترتدي فستاناً جميلاً.
elbise,A1,E-type (front),فستان,Güzel elbise giyiyor.,ترتدي فستاناً جميلاً.
elbise,A2,E-type (front),فستان,Güzel bir elbise giyiyor.,ترتدي فستاناً جميلاً
etek,A1,E-type (front),تنورة,Kısa etek giyiyor.,ترتدي تنورة قصيرة.
etek,A2,E-type (front),تنورة,Kısa etek giyiyor.,ترتدي تنورة قصيرة
teras,B1,I-type (back),تراس,Büyük teras,تراس كبير
kil,B2,E-type,طين,Kil toprak,تراب طيني
toprak,A2,I-type (back),تراب,Verimli toprak,تراب خصب
mezun,A2,I-type (back),خريج,Üniversiteden mezun oldum.,تخرجت من الجامعة.
yıl,A1,I-type (back),سنة,Geçen yıl mezun oldum,تخرجت العام الماضي
kan,A2,I-type (back),دم,Kan tahlili,تحليل الدم
idrar,B2,I-type (back),بول,İdrar tahlili,تحليل البول
seçim,B2,E-type (front),انتخابات,Seçim tarihi belli oldu.,تحدد موعد الانتخابات.
müdür,B1,E-type (front),مدير,Banka müdürüyle konuştum.,تحدثت مع مدير البنك
müdür,A2,E-type (front),مدير,Müdürle konuştum,تحدثت مع المدير
müdür,B1,E-type (front),مدير,Müdürle konuştum.,تحدثت مع المدير
telefon,A1,I-type (back),هاتف,Telefonla konuştum.,تحدثت بالهاتف
rehber,B1,E-type (front),مرشد,Rehber eşliğinde gezdik.,تجولنا مع المرشد
kayak,B1,I-type (back),قارب صغير,Kayak ile gezdik.,تجولنا بالقارب الصغير.
mayıs,A1,I-type (back),مايو,Mayıs çiçekleri açıyor.,تتفتح الأزهار في مايو.
ekim,A1,E-type (front),أكتوبر,Ekim yapraklar dökülüyor.,تتساقط الأوراق في أكتوبر.
eylül,A1,E-type (front),سبتمبر,Eylül okul başlıyor.,تبدأ المدرسة في سبتمبر.
mahkeme,B2,E-type (front),محكمة,Mahkeme saat dokuzda başlıyor.,تبدأ المحكمة في الساعة التاسعة.
geç,A1,E-type (front),متأخر,Geç kaldım,تأخرت
tren,A1,E-type (front),قطار,Tren geç kaldı.,تأخر القطار.
tren,A2,E-type (front),قطار,Tren geç kaldı.,تأخر القطار
anestezi,C1,E-type (front),تخدير,Anestezi etkisi,تأثير التخدير
kaynatılmış,B1,I-type (back),مسلوق,Kaynatılmış yumurta,بيضة مسلوقة
eski,A1,E-type (front),قديم,Eski ev,بيت قديم
eski,A1,E-type (front),قديم,Eski bir ev.,بيت قديم
ev,A1,E-type (front),بيت,Güzel ev,بيت جميل
baykuş,B1,I-type,بومة,Gece baykuşu,بومة الليل
dar,A1,I-type (back),ضيق,Dar pantolon,بنطلون ضيق
sıkı,A2,I-type (back),ضيق,Sıkı pantolon,بنطلون ضيق
döşeme,B2,E-type (front),بلاط,Fayans döşeme,بلاط الفايانس
ağlamak,A2,I-type (back),يبكي,Filmi izlerken ağladım.,بكيت أثناء مشاهدة الفيلم
üç,A1,E-type (front),ثلاثة,Üç gün kaldık.,بقينا ثلاثة أيام.
inek,A1,E-type,بقرة,Büyük inek,بقرة كبيرة
sivrisinek,B1,E-type,بعوضة,Isıran sivrisinek,بعوضة عاضة
sonra,A1,I-type (back),بعد ذلك,Sonra eve gideceğim.,بعد ذلك سأذهب للبيت.
karın,A2,I-type (back),بطن,Karnım ağrıyor.,بطني يؤلمني.
battaniye,A2,E-type (front),بطانية,Yünlü battaniye,بطانية صوفية
lityum,C1,E-type (front),ليثيوم,Lityum pili,بطارية الليثيوم
ördek,A2,E-type,بطة,Su ördekleri,بط الماء
tuzlu,A2,I-type (back),مالح,Tuzlu bisküvi,بسكويت مالح
kalp,B1,I-type (back),قلب,Kalp şeklinde kurabiye.,بسكويت على شكل قلب
soğukluk,B1,I-type,برودة,Kış soğukluğu,برودة الشتاء
festival,B1,E-type (front),مهرجان,Müzik festivali başladı.,بدأ مهرجان الموسيقى
proje,A2,E-type (front),مشروع,Yeni proje başladı,بدأ مشروع جديد
çalışan,B1,I-type (back),موظف,Yeni çalışan işe başladı.,بدأ الموظف الجديد العمل
toplantı,B1,I-type (back),اجتماع,Toplantı başladı.,بدأ الاجتماع
buhar,B1,I-type (back),بخار,Su buharı,بخار الماء
sprey,B1,E-type (front),بخاخ,Burun spreyi,بخاخ الأنف
göl,A2,E-type,بحيرة,Büyük göl,بحيرة كبيرة
açık,A1,I-type (back),مفتوح,Açık kapı,باب مفتوح
kapı,A1,I-type (back),باب,Kahverengi kapı,باب بني
umut etmek,B2,I-type (back),يأمل,İyileşmen için umut ediyorum.,آمل أن تتحسن
restoran,A2,I-type (back),مطعم,Restoranda yemek yiyorum,آكل في المطعم
çatal,B1,I-type (back),شوكة,Çatalla yemek yiyorum.,آكل بالشوكة
yumurta,A1,I-type (back),بيض,Kahvaltıda yumurta yerim.,آكل البيض في الإفطار.
duş almak,A1,I-type (back),يستحم,Her sabah duş alıyorum.,آخذ حماماً كل صباح.
enstrüman,B2,I-type (back),آلة موسيقية,Hangi enstrüman çalıyorsun?,أي آلة موسيقية تعزف؟
para,A1,I-type (back),مال,Para biriktiriyorum.,أوفر المال
para,A1,I-type (back),مال,Para biriktiriyorum.,أوفر المال
kaz,A2,I-type,أوزة,Beyaz kaz,أوزة بيضاء
yaprak,A1,I-type (back),ورقة,Yeşil yapraklar,أوراق خضراء
yeşil,A1,E-type (front),أخضر,Yeşil yapraklar.,أوراق خضراء
sonbahar,A2,I-type (back),خريف,Sonbahar yaprakları,أوراق الخريف
ödev,A2,E-type (front),واجب منزلي,Ödevimi bitirdim.,أنهيت واجبي المنزلي.
ödev,A2,I-type (back),واجب منزلي,Ödevi bitirdim.,أنهيت الواجب المنزلي
proje,B1,I-type (back),مشروع,Proje bitiriyorum.,أنهي المشروع
helikopter,B2,E-type (front),مروحية,Helikopter hastayı kurtardı.,أنقذت المروحية المريض
burun,A1,I-type (back),أنف,Burnum tıkalı.,أنفي مسدود.
burun,A1,I-type (back),أنف,Burnum tıkalı.,أنفي مسدود.
burun,A1,I-type (back),أنف,Burnum büyük.,أنفي كبير
yüz,A1,E-type (front),مائة,Yüz lira harcadım.,أنفقت مائة ليرة.
süpürge,B1,E-type (front),مكنسة,Süpürgeyle temizlik yapıyorum.,أنظف بالمكنسة
diş fırçalamak,A1,E-type (front),ينظف الأسنان,Dişlerimi fırçalıyorum.,أنظف أسناني.
diş fırçası,B1,E-type (front),فرشاة أسنان,Diş fırçasıyla dişlerimi fırçalıyorum.,أنظف أسناني بفرشاة الأسنان
ayna,A2,I-type (back),مرآة,Aynaya bakıyorum.,أنظر في المرآة
harita,A2,I-type (back),خريطة,Haritaya bakıyorum.,أنظر إلى الخريطة.
klasör,B1,E-type (front),مجلد,Klasör oluşturdum.,أنشأت مجلداً.
klasör,B1,I-type (back),مجلد,Klasör oluşturdum.,أنشأت مجلداً
minibüs,B1,E-type (front),حافلة صغيرة,Minibüs durağında bekliyorum.,أنتظر في محطة الحافلة الصغيرة
istasyon,A1,I-type (back),محطة,İstasyonda bekliyorum.,أنتظر في المحطة.
istasyon,A2,I-type (back),محطة,İstasyonda bekliyorum,أنتظر في المحطة
dolmuş,A2,I-type (back),دولموش,Dolmuş bekliyorum.,أنتظر الدولموش.
yatak odası,A1,I-type (back),غرفة نوم,Yatak odasında uyuyorum.,أنام في غرفة النوم.
gece,A1,E-type (front),ليل,Gece uyuyorum,أنام في الليل
yatak,A1,I-type (back),سرير,Yatakta uyuyorum.,أنام في السرير.
yatak,A1,I-type (back),سرير,Yatakta uyuyorum,أنام في السرير
yatak,A1,I-type (back),سرير,Yatakta uyuyorum.,أنام في السرير
ay,A1,I-type (back),شهر,Bu ay çok meşgulüm,أنا مشغول جداً هذا الشهر
hafta,A1,I-type (back),أسبوع,Bu hafta çok meşgulüm.,أنا مشغول جداً هذا الأسبوع.
hafta,A1,I-type (back),أسبوع,Bu hafta çok meşgulüm.,أنا مشغول جداً هذا الأسبوع.
yapı,A1,E-type (back),مفردة تركية,Ben yapı istiyorum.,أنا محتوى الجملة بالعربية
yorgun,A1,I-type (back),متعب,Çok yorgunum.,أنا متعب جداً.
yorgun,A1,I-type (back),متعب,Çok yorgunum.,أنا متعب جداً.
